Thinking Process:

1.  **Analyze the Request:**
    *   **Role:** Senior Software Architect writing a codebase orientation document.
    *   **Input:** Module summaries, Architecture layers, Graph statistics, Hub files.
    *   **Output Format:** Plain text ONLY. No markdown, no bold, no headers (use labeled sections like "IDENTITY:", "STACK:", etc.), no bullet characters, no asterisks. Short labeled sections separated by blank lines.
    *   **Constraints:**
        *   Every claim must come from provided data.
        *   Use exact file paths, class names, function names.
        *   Be dense (no filler).
        *   Target 3419 characters (range: 3419 to 4444 characters).
        *   Output final answer as plain text (no thinking tags).
    *   **Sections Required:** IDENTITY, STACK, ARCHITECTURE, SUBSYSTEMS, FLOW, PATTERNS, RISKS.

2.  **Analyze the Data:**
    *   **Module Summaries:** 50+ modules described. Key themes: SQLModel, FastAPI, UI (React, Next.js, Vue, Android, iOS), Testing, CLI tools (bat, ripgrep), Code Analysis (CoDRAG, Rust, Python), Marketing/Website (Halley.chat, Jezebel).
    *   **Architecture Layers:** testing (1814), documentation (1267), business_logic (1082), presentation (782), infrastructure (477), configuration (476), build (65), data (25), unknown (1).
    *   **Graph Statistics:** 1341 files, 4927 nodes, 19690 edges. Languages: .md (383), .ts (236), .js (201), .py (186), .tsx (171), .json (60), .css (38), .html (26).
    *   **Hub Files:** TEST2/website.clean/app/download/page.tsx, TEST2/website.clean/app/privacy/page.tsx, TEST2/website.clean/app/terms/page.tsx, TEST2/website.clean/components/sections/HeroSection.tsx, etc. These point heavily to a Next.js website structure (`TEST2/website.clean`).

3.  **Drafting Content - Section by Section:**

    *   **IDENTITY:** Needs to be one sentence. Based on data, it's a multi-language codebase focusing on CoDRAG (AI code analysis), SQLModel/FastAPI backend, and extensive UI/Marketing website (Halley.chat/Jezebel).
    *   **STACK:** Languages: Python, Rust, TypeScript, JavaScript, Java, Kotlin, Swift, Go, Ruby, C. Frameworks: FastAPI, SQLModel, Next.js, React, Vue, OkHttp, Alamofire, Javalin, Spark. Build: Vite, Maturin, Maven, Gradle, GitHub Actions.
    *   **ARCHITECTURE:** Layers: testing, documentation, business_logic, presentation, infrastructure, configuration, build, data. Hub files indicate `TEST2/website.clean` is central. Modules depend on `website-ui`, `website-legal`, etc.
